,Principal Component 1,Principal Component 2
0,-229.5186858018424,-58.643068205916464
1,22.94733143745512,-103.16230641777402
2,275.3507952990827,-41.67568377824085
3,433.63965562482315,0.9521826328730998
4,-238.93106658307082,-60.4045018506938
5,4083.26006185389,65.9110777763188
6,-232.04426108775357,-58.621075776843576
7,-238.92140277966442,-59.472999940979896
8,-236.87283946982316,-60.72599263093191
9,-208.66104987380228,-55.90571093166688
10,-238.3730970701953,-55.1721420049136
11,-235.15520433094272,-47.79740944118115
12,64.89220871974999,5.093292398545085
13,-215.3551473975857,-51.06192265024726
14,-214.37646711151478,-49.00801714847931
15,-243.17483569448723,-58.70641735167298
16,-244.3821952456323,-59.41211499524582
17,-171.8083090351419,-54.22886347201657
18,-103.91535182408899,-3.453136875504785
19,659.5426184961965,4.4509787659300635
20,-215.2658018444128,-55.449099123162924
21,-230.3097132517647,-59.04943986876164
22,-204.93852384008864,-52.92557573568247
23,-235.5324733999441,-60.13613652641194
24,-242.59464848924844,-59.55134788620271
25,-239.735016349944,-54.77664978938894
26,189.4641634764443,58.696327477054105
27,-191.4461772930152,-49.12247970142244
28,-246.4854914710787,-59.103917846076314
29,-100.56100886242699,-36.80041831120672
30,-223.41421802498786,-60.57953311051696
31,-64.78963641294531,-25.82867495179646
32,-209.07144328572718,-52.9177179105125
33,0.021895793948714555,-29.530432974153943
34,-244.05596897731346,-59.941453686584154
35,-186.2252911243354,-50.9074568248828
36,-238.42401487895935,-57.51594925012037
37,-71.17655743800064,-31.21944959476671
38,-221.83772856009287,-33.657498730266006
39,-66.50158149786006,-20.12866910066732
40,176.97936063282702,-26.733467754467743
41,-205.74400522345658,-58.71031130755264
42,-111.43614151682354,-49.69126342691797
43,-241.81881154673655,-59.33521031880471
44,-240.74878923888957,-60.79758252553589
45,-84.12286708642668,-6.174436764312825
46,-239.89295074110774,-59.25232384248643
47,-156.78718626144928,-55.22555639233613
48,-146.13419788880157,-46.13325976848351
49,174.34667637836236,-21.452095033233693
50,-220.05353887796878,-53.849291481531104
51,-235.24214492742797,-58.98817992616372
52,-116.01885618242511,-53.36930710193839
53,-47.03869068288056,4.51392387720668
54,-145.32224885491453,-46.673949013176866
55,-244.14844798165925,-58.4019981738602
56,-235.11509224443608,-58.92607112982954
57,-244.14299506086226,-59.49078648547744
58,-231.88100794449971,-59.89864194548559
59,-241.49724881687018,-57.00893184916997
60,-55.72452560463366,-18.13512159532358
61,1387.5692593836206,152.3772742962603
62,-246.44867937199268,-59.59417842374601
63,-242.56388856982954,-57.94918475225194
64,-226.264000590712,-52.96188949815485
65,-245.43469044792766,-56.854235489955364
66,-159.48546354613356,-52.377686635048185
67,-238.73690148618803,-59.57459435959155
68,-137.56360946798225,-51.230506935129924
69,120.36948504924962,62.033077079403256
70,-171.75250119766565,-55.35726897960038
71,-238.6525658079658,-60.464708117342646
72,-21.421214328737076,-1.5268078661994977
73,-195.98253275392622,-49.684975995917334
