,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73
Sample_1,1.0,0.9999141333149199,0.9998777265734304,0.9962559061920969,0.9901771203431534,0.9922483000996626,0.9892467251357023,0.9914513481941623,0.9939916882451519,0.9944059783765528,0.4491685356319477,0.47282782190720607,0.4477722245076201,0.9953200436569404,0.9972995744438891,0.9945196701810176,0.4984554173627535,0.49198877418696474,0.4880562341719322,0.020655494883674286,0.01877558055399106,0.01881038006890724,0.018066568701300873,0.01888642162902421,0.018393262552706843,0.9799486899316846,0.9758855109105218,0.9837346710119196,0.9879816422303851,0.008083247809714205,0.9901481548898223,0.9854038631913662,0.9812311482701207,0.9823175240795751,0.992244694034703,0.9921008948255823,0.9920951407618367,0.3498031278916154,0.3424965127192252,0.35139725605237004,0.38142566975129155,0.3773158381780963,0.3851578231566696,0.3779664909860548,0.3791171955050172,0.4317603281711842,0.37617225359101697,0.4061832782374687,0.3914441465622545,0.4540383789610223,0.434491544484889,0.43899813466767823,0.44300305384679944,0.44406931154379303,0.3985795693485489,0.4228289564935819,0.3898150286790709,0.40639805616856695,0.4111394477824699,0.40054883169323036,0.38527618593773777,0.1949039604087227,0.36981319814083374,0.7677173210101084,0.41398129897353053,0.6122777981029682,0.14559376472977298,0.29792943370553115,0.2941942392450886,0.41363887869552246,0.397051209704885,0.4069006205223755,0.39522457928113447
Sample_2,0.9999141333149199,1.0,0.9999784506926696,0.9964829188362503,0.9902376502306087,0.9929653824827439,0.9903400617646007,0.9925112952359104,0.9948904881755171,0.9952781239684677,0.4503550834994809,0.47398229844613554,0.4489755173907858,0.9947436961983747,0.997122266997393,0.994056299203909,0.4995145259651407,0.4930275752488489,0.4892420950318694,0.022800557565228242,0.020933952894019982,0.020960012523518198,0.020025410751960196,0.020856681625938497,0.02039781237531133,0.9816280268618683,0.9776536675356217,0.9850844330711764,0.9882499356406429,0.008264606981998579,0.9907446398773522,0.9868032250377756,0.982788063461466,0.9837071568556819,0.9926406168072961,0.9925559483434127,0.9925475695366452,0.35148270436022083,0.3442648787954046,0.35320088302381014,0.3830172503366028,0.3789617874309486,0.386781582180873,0.37979593437990505,0.3809592882736975,0.433417247564489,0.37715251528859295,0.4071435440685357,0.3923619065738461,0.4572367066240121,0.43756578473627455,0.4420283986016708,0.4476618182167193,0.4486752887430862,0.4025831269895934,0.4284803428240905,0.3954303802526451,0.4124342420924331,0.41649161294470133,0.4055878785176584,0.39003917892309997,0.19966749282230078,0.37433693054292444,0.7696618136163794,0.41757066796898135,0.6144817462009733,0.15028703736939542,0.3002737536575524,0.29563460443590317,0.41510004433190467,0.3984980850770735,0.4084868111166398,0.3965732913971385
Sample_3,0.9998777265734304,0.9999784506926696,1.0,0.9966282846624598,0.9906916784859091,0.9927407324620267,0.9907000817438917,0.9927316674988725,0.9949778569998563,0.99531387498113,0.4547186808224884,0.4783826710592961,0.4533605415446493,0.9945422364157641,0.9968910768562339,0.9938882272282815,0.5040165946855336,0.49753991104012396,0.4935675813751252,0.023276656153033246,0.021389138657506166,0.021409340100041585,0.020476395923201555,0.021335907688135366,0.020868935358126676,0.981577563573742,0.977685936119909,0.9850282444464414,0.9878864373810544,0.00815398751254391,0.9904562220180326,0.9868869460043749,0.9830302724372095,0.9839748566850953,0.9925331177115001,0.9925118745575766,0.9924453527991459,0.355932932913654,0.3486128260017984,0.3574701017152932,0.3872280529258424,0.3830935004203851,0.39087314519428457,0.3843235224156959,0.38542439702164494,0.4377866816632714,0.3820195982885378,0.411909452968962,0.39719082749671214,0.46184179135533915,0.4422473773468914,0.4466649587275594,0.4510392547647717,0.45210691507516193,0.4060969817143709,0.43191859945771915,0.39886467953867294,0.41582941177234506,0.42008180221476643,0.4092009190300109,0.39357272353411493,0.20040202796057563,0.37495351600473226,0.769910987841929,0.4184946283499363,0.6150649838218327,0.1508980258895838,0.3018131470851875,0.2993475013639535,0.41872271748795714,0.40224255955294735,0.4115204452690986,0.40060534661401576
Sample_4,0.9962559061920969,0.9964829188362503,0.9966282846624598,1.0,0.9889383082957381,0.9955877306348171,0.9894658785693863,0.9922955339135615,0.9943278775894617,0.9949333087723887,0.47448156690138366,0.4994793646028606,0.4738619141145858,0.9851218401129922,0.9895113425920223,0.9842397245954686,0.5257234938060532,0.5184946841979922,0.5131547416867456,0.015425267803386288,0.013445938975317723,0.013490002197180297,0.01383121765460441,0.014525456359799824,0.014077007581214883,0.9851249080712863,0.9808024764065336,0.9888081481938259,0.9915285922151421,0.009079040949054084,0.99369368026567,0.9883856921592099,0.983619966746434,0.9847209330226337,0.9948645391413798,0.9949444705573061,0.9946731185759285,0.37698979600894494,0.36871972385196256,0.3768230106449792,0.4089929769843918,0.4039171288139228,0.41155772954950426,0.4043392316442706,0.4049754140093724,0.4583398702490568,0.4085514151459442,0.4374337632836073,0.4233312985263916,0.47658261115041484,0.45840296962789534,0.4614866145412506,0.4584772499357113,0.4594596932655531,0.4144833921895887,0.43829438310122953,0.4049247554440534,0.4216520981334903,0.42157812675279277,0.4110876814360392,0.3941687456974147,0.1917466542368133,0.3663034681859515,0.7506803992566488,0.3969858445822625,0.5891160955958927,0.14172667100325068,0.3026983614921233,0.31663137611865777,0.43649888703302436,0.42117123819569624,0.4241811774599075,0.42290787372327954
Sample_5,0.9901771203431534,0.9902376502306087,0.9906916784859091,0.9889383082957381,1.0,0.9778530215583245,0.9858552643832129,0.985088038813041,0.9860054182078114,0.985290499468455,0.5049755769660194,0.5270647486533175,0.5031397329188326,0.9872751765958645,0.9874959224688196,0.9875579079722486,0.5556435526087843,0.5490112393700942,0.543322252466318,0.029869268110373628,0.027676498221917745,0.02774987129458636,0.028116430835716813,0.02892901595632934,0.02856198244115577,0.9676219200132614,0.9658012245848724,0.971235400459951,0.9701783884733006,0.011930725174573229,0.9734597576457509,0.9760813564660573,0.9752597004531859,0.9766830201630661,0.9792006751955118,0.9801429268879529,0.9791691617114908,0.40733961387848705,0.3992842879218933,0.40664620860252165,0.43870882912801645,0.4336825020328861,0.4409599386555282,0.43106557967107556,0.43149506743787125,0.4834883195045334,0.43867405080815697,0.46705071415037547,0.45321884484019476,0.5181179803490774,0.5004047495310349,0.5041617429978325,0.49468409633885313,0.4963261704444444,0.4522257910472442,0.4703328286403059,0.4382238745292357,0.45436719495536576,0.46382489469307026,0.45342744143291575,0.43774135055375785,0.21248672817483594,0.3846936469158414,0.7801230702306752,0.44289663534810125,0.6342585415236017,0.16149165706788002,0.31516837759679966,0.34692173692788164,0.46285984513576994,0.4485449690590346,0.4459939391656812,0.44561452980233374
Sample_6,0.9922483000996626,0.9929653824827439,0.9927407324620267,0.9955877306348171,0.9778530215583245,1.0,0.9842977546298689,0.9892812999426462,0.9930915724851155,0.9943427773441476,0.42011524925637067,0.4446778291577032,0.41926188492012856,0.9797421807263981,0.9866791197825809,0.9785858572955919,0.4700786434954541,0.46286376870479057,0.45978946870461296,0.010157116191757725,0.008134588224123085,0.008215588718633857,0.008468456866135253,0.009032640764109146,0.008511944136384448,0.9885720798136156,0.9823157022074883,0.990936129679372,0.9937558433301498,0.009346907015842485,0.9963655059060048,0.9885154934719949,0.9821352867890939,0.9816905838103488,0.994047638632588,0.9934774078043286,0.9940844975071819,0.32100262604278246,0.3140985456229528,0.3232656600258483,0.35487485429186294,0.3509837145642953,0.35898743795471855,0.34884758587577624,0.35016590636905165,0.4037692540707889,0.3459618788667826,0.37607956933706416,0.361149693453559,0.42795315075727614,0.40831418273305076,0.4120579568239152,0.4307478297702104,0.4309490205027012,0.38033268447481267,0.4170652529671608,0.3832035685260498,0.4042943309980848,0.39868214254541523,0.3855472192821165,0.3681426502309796,0.22595557098434713,0.39741385013720154,0.7586122424774392,0.41483095841066103,0.6015500116215566,0.17791316200002952,0.28268330131290237,0.2678888184635671,0.3886247418564435,0.37148268785776645,0.3843029523463327,0.3699812202015461
Sample_7,0.9892467251357023,0.9903400617646007,0.9907000817438917,0.9894658785693863,0.9858552643832129,0.9842977546298689,1.0,0.9994190513001044,0.9970652407437648,0.9963927106920653,0.5037027496965205,0.5264696985804165,0.5032351159646742,0.9814310689729276,0.9857952119086117,0.9822403555410401,0.5471626553481338,0.5402847061166647,0.5394964170539714,0.06634302308257381,0.06418267755180623,0.06424334387709536,0.06215411576214647,0.06328008131723196,0.0627252263515803,0.9873599374018527,0.9867599054264276,0.988604145502166,0.9804714327590879,0.008133295069630422,0.9853655058581038,0.9921288359220086,0.9914591112327672,0.9921478849306584,0.9879785901383782,0.9889345431059756,0.9882443278706012,0.41635871159047494,0.40964923101868506,0.41836521093333445,0.4457563696331221,0.4420547755500906,0.44937321015831144,0.4421803029833755,0.4435573004721002,0.49388593563593897,0.4319946062038138,0.46122193139793743,0.44647672377381686,0.5167438797354679,0.4970707673339879,0.5009415519367642,0.5149617399536597,0.516130240538291,0.470373834553216,0.49559670506502007,0.46295313319415116,0.4795954528745722,0.47826864713235795,0.4670124813552365,0.4502318465780519,0.21105192674400308,0.38732448540235787,0.7777075665692996,0.42802789201013947,0.6140127027148419,0.15961510776343737,0.3417631525842776,0.35844347136169524,0.47190308311363727,0.4562815085227975,0.46403129562285944,0.4530109817223152
Sample_8,0.9914513481941623,0.9925112952359104,0.9927316674988725,0.9922955339135615,0.985088038813041,0.9892812999426462,0.9994190513001044,1.0,0.9985862523572625,0.9983283649206386,0.4862819691127737,0.5094357181809435,0.48579297058900567,0.9826591283155978,0.9877637649777969,0.9831306737809024,0.5306053038273071,0.5236434992657487,0.522732181548583,0.056905732473011096,0.05480247311917355,0.05487377829500582,0.05320431613242105,0.054207561275026336,0.05365612663646719,0.9906022370347246,0.9890595330820702,0.9919400942490244,0.9856275776807321,0.00820264532105989,0.9901189695746027,0.9941888086340004,0.9922626067190778,0.9927653340311401,0.9914595746193637,0.9920920080510258,0.9916819222620669,0.39688395162925233,0.3902349073270704,0.3991426078860473,0.4272735146479156,0.42363504486017717,0.43111519261746256,0.4231753781651953,0.4246325148421577,0.475669152992407,0.41340901479413383,0.44295057009738575,0.4280579973410683,0.4979702468813222,0.47803952215210627,0.48186180620043684,0.49804591577556445,0.49899570908309065,0.452340114869367,0.4792983510806804,0.4462966976398559,0.4636599717966983,0.4609809550262755,0.4493804496636821,0.4324139562238778,0.20892123669611812,0.38517779756005277,0.7728223360531362,0.4209012892856965,0.607783015788541,0.158006356151223,0.3311365203133706,0.34038244873049517,0.45532194136708426,0.4392693755310292,0.4487497575707742,0.4361162338754719
Sample_9,0.9939916882451519,0.9948904881755171,0.9949778569998563,0.9943278775894617,0.9860054182078114,0.9930915724851155,0.9970652407437648,0.9985862523572625,1.0,0.9998843702035211,0.4693648924673787,0.49254981335134124,0.46862976343427204,0.9857419229273255,0.990838268569866,0.9860877712194805,0.5146761527562107,0.5077202283964855,0.5066592873351502,0.050775498807878926,0.04793032248379636,0.04802949248106279,0.047504443160282676,0.04869355719601938,0.04770301029261559,0.9911414830555022,0.9885268833029414,0.9927932534909488,0.9892281508978306,0.008206332249073356,0.9929652072113456,0.9944190768281956,0.9919125042160195,0.9919809179009642,0.9944246273786094,0.9947858560883798,0.9946543077646157,0.3768762601206264,0.3702211160066035,0.379258178101675,0.4092721174305078,0.40568108681852766,0.41339226719443045,0.40222920250493277,0.40364671800441143,0.4554805698468929,0.3949088238067233,0.42477622862801206,0.4098097103079048,0.48149758369022716,0.4617116539032822,0.4658745191406906,0.4826358430888982,0.4834441155730967,0.4352359979138321,0.46458097537135024,0.43140311883880267,0.4502926317392274,0.4494024271486814,0.43722998891639714,0.4205712894914095,0.22800379620409603,0.40332230266560937,0.7851507309518435,0.4383838155480124,0.6238396229748003,0.1782275814041994,0.318796064039656,0.32207030622906474,0.4392953248841181,0.4227992154862896,0.433567416109942,0.419104186475165
Sample_10,0.9944059783765528,0.9952781239684677,0.99531387498113,0.9949333087723887,0.985290499468455,0.9943427773441476,0.9963927106920653,0.9983283649206386,0.9998843702035211,1.0,0.4628220062371001,0.48614785695811213,0.4620610122453308,0.9858456132298082,0.9911618690849999,0.9859848613549095,0.5084546110674084,0.5014787440879951,0.5002750443309487,0.046061786712293565,0.04331983144062576,0.04342128642100514,0.04297112031456671,0.04409445072820534,0.04314426583163673,0.9916307849275239,0.9886597716326071,0.9933456900977274,0.9904047234673455,0.008406262082567194,0.9941218238215245,0.9944998321211375,0.9913457485839415,0.991451208894514,0.9949150755654965,0.9951472778188748,0.9951136422299107,0.36928476490946177,0.3626251798424308,0.3717183679329048,0.40201906628210526,0.3984333703852787,0.40618741140566467,0.3949908002539701,0.39644837441871983,0.4485306467786581,0.3880349770752041,0.41799350732452506,0.4029762224893577,0.47383879601220386,0.45388152359482165,0.4579727984691733,0.47513120793163116,0.475885170556814,0.42757083736364354,0.4570270831842427,0.4236799137269879,0.44263523830571017,0.44122805439254975,0.4290053425127176,0.4122478032651452,0.22244999853351752,0.39771934833994604,0.7797205619600257,0.4313103725784744,0.6177780551531745,0.17287725310729418,0.31425837948201346,0.31491529496910414,0.43271733086615966,0.4161085579195095,0.4273517785397556,0.4125679926516835
