,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73
Sample_1,,0.9999141333149199,0.9998777265734304,0.9962559061920969,0.9901771203431534,0.9922483000996626,,0.9914513481941623,0.9939916882451519,0.9944059783765528,,,,0.9953200436569404,0.9972995744438891,0.9945196701810176,,,,,,,,,,,,,,,0.9901481548898223,,,,0.992244694034703,0.9921008948255823,0.9920951407618367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_2,0.9999141333149199,,0.9999784506926696,0.9964829188362503,0.9902376502306087,0.9929653824827439,0.9903400617646007,0.9925112952359104,0.9948904881755171,0.9952781239684677,,,,0.9947436961983747,0.997122266997393,0.994056299203909,,,,,,,,,,,,,,,0.9907446398773522,,,,0.9926406168072961,0.9925559483434127,0.9925475695366452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_3,0.9998777265734304,0.9999784506926696,,0.9966282846624598,0.9906916784859091,0.9927407324620267,0.9907000817438917,0.9927316674988725,0.9949778569998563,0.99531387498113,,,,0.9945422364157641,0.9968910768562339,0.9938882272282815,,,,,,,,,,,,,,,0.9904562220180326,,,,0.9925331177115001,0.9925118745575766,0.9924453527991459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_4,0.9962559061920969,0.9964829188362503,0.9966282846624598,,,0.9955877306348171,,0.9922955339135615,0.9943278775894617,0.9949333087723887,,,,,,,,,,,,,,,,,,,0.9915285922151421,,0.99369368026567,,,,0.9948645391413798,0.9949444705573061,0.9946731185759285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_5,0.9901771203431534,0.9902376502306087,0.9906916784859091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_6,0.9922483000996626,0.9929653824827439,0.9927407324620267,0.9955877306348171,,,,,0.9930915724851155,0.9943427773441476,,,,,,,,,,,,,,,,,,0.990936129679372,0.9937558433301498,,0.9963655059060048,,,,0.994047638632588,0.9934774078043286,0.9940844975071819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_7,,0.9903400617646007,0.9907000817438917,,,,,0.9994190513001044,0.9970652407437648,0.9963927106920653,,,,,,,,,,,,,,,,,,,,,,0.9921288359220086,0.9914591112327672,0.9921478849306584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_8,0.9914513481941623,0.9925112952359104,0.9927316674988725,0.9922955339135615,,,0.9994190513001044,,0.9985862523572625,0.9983283649206386,,,,,,,,,,,,,,,,0.9906022370347246,,0.9919400942490244,,,0.9901189695746027,0.9941888086340004,0.9922626067190778,0.9927653340311401,0.9914595746193637,0.9920920080510258,0.9916819222620669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_9,0.9939916882451519,0.9948904881755171,0.9949778569998563,0.9943278775894617,,0.9930915724851155,0.9970652407437648,0.9985862523572625,,0.9998843702035211,,,,,0.990838268569866,,,,,,,,,,,0.9911414830555022,,0.9927932534909488,,,0.9929652072113456,0.9944190768281956,0.9919125042160195,0.9919809179009642,0.9944246273786094,0.9947858560883798,0.9946543077646157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_10,0.9944059783765528,0.9952781239684677,0.99531387498113,0.9949333087723887,,0.9943427773441476,0.9963927106920653,0.9983283649206386,0.9998843702035211,,,,,,0.9911618690849999,,,,,,,,,,,0.9916307849275239,,0.9933456900977274,0.9904047234673455,,0.9941218238215245,0.9944998321211375,0.9913457485839415,0.991451208894514,0.9949150755654965,0.9951472778188748,0.9951136422299107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_11,,,,,,,,,,,,0.9972280663377515,0.9988314311703888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_12,,,,,,,,,,,0.9972280663377515,,0.9984648100914126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_13,,,,,,,,,,,0.9988314311703888,0.9984648100914126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_14,0.9953200436569404,0.9947436961983747,0.9945422364157641,,,,,,,,,,,,0.9990369747852315,0.9997497897611846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_15,0.9972995744438891,0.997122266997393,0.9968910768562339,,,,,,0.990838268569866,0.9911618690849999,,,,0.9990369747852315,,0.9988674351874216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_16,0.9945196701810176,0.994056299203909,0.9938882272282815,,,,,,,,,,,0.9997497897611846,0.9988674351874216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_17,,,,,,,,,,,,,,,,,,0.9993746206546567,0.991981271565074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_18,,,,,,,,,,,,,,,,,0.9993746206546567,,0.9915867174555277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_19,,,,,,,,,,,,,,,,,0.991981271565074,0.9915867174555277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_20,,,,,,,,,,,,,,,,,,,,,0.9973316717910903,0.9978314354105915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_21,,,,,,,,,,,,,,,,,,,,0.9973316717910903,,0.9996369354830582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_22,,,,,,,,,,,,,,,,,,,,0.9978314354105915,0.9996369354830582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_23,,,,,,,,,,,,,,,,,,,,,,,,0.9980047011808099,0.9974664092573043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_24,,,,,,,,,,,,,,,,,,,,,,,0.9980047011808099,,0.9978516913927036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_25,,,,,,,,,,,,,,,,,,,,,,,0.9974664092573043,0.9978516913927036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_26,,,,,,,,0.9906022370347246,0.9911414830555022,0.9916307849275239,,,,,,,,,,,,,,,,,0.9990853958132628,0.999559838078204,,,0.9943043482736686,0.9957012545925311,0.9926900138868741,0.9921820343734253,0.9910813337979941,0.991397453546365,0.9914682680811494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_27,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990853958132628,,0.9982612739048681,,,0.9905267499976083,0.9945683834190135,0.9928607084605526,0.9926409006433448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_28,,,,,,0.990936129679372,,0.9919400942490244,0.9927932534909488,0.9933456900977274,,,,,,,,,,,,,,,,0.999559838078204,0.9982612739048681,,0.9930207599360863,,0.9965547961261232,0.9961916983846152,0.9927731079979529,0.9926636432376316,0.9939849415119383,0.9942033716501106,0.9942393396189927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_29,,,,0.9915285922151421,,0.9937558433301498,,,,0.9904047234673455,,,,,,,,,,,,,,,,,,0.9930207599360863,,,0.9983400264125257,,,,0.9968945716657653,0.9961939907588274,0.9967018968114835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_31,0.9901481548898223,0.9907446398773522,0.9904562220180326,0.99369368026567,,0.9963655059060048,,0.9901189695746027,0.9929652072113456,0.9941218238215245,,,,,,,,,,,,,,,,0.9943043482736686,0.9905267499976083,0.9965547961261232,0.9983400264125257,,,0.9926171788774848,,,0.9974334018395921,0.9969216975954847,0.9973749441543311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
